info @storybook/react v6.1.15
info 
info => Cleaning outputDir /tmp/chromatic--52269-gRr0kOkvSQM6
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/common/polyfills.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/preview/globals.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/storybook-init-framework-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/preview.js-generated-config-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 28% building 156/173 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 28% building 157/173 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 28% building 158/173 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 159/173 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 160/173 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 161/173 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 162/173 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 163/173 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 164/173 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 165/173 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 29% building 166/173 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 30% building 167/173 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 30% building 167/174 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/client-api/dist/inferArgTypes.js
<s> [webpack.Progress] 30% building 168/174 modules 6 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/client-api/dist/inferArgTypes.js
<s> [webpack.Progress] 30% building 168/175 modules 7 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/client-api/dist/ensureArgTypes.js
<s> [webpack.Progress] 30% building 168/176 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/require-object-coercible.js
<s> [webpack.Progress] 30% building 168/177 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/airbnb-js-shims/target/es2015.js
<s> [webpack.Progress] 30% building 168/178 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/function-bind-context.js
<s> [webpack.Progress] 30% building 168/179 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/array-species-create.js
<s> [webpack.Progress] 30% building 169/179 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/array-species-create.js
<s> [webpack.Progress] 30% building 169/180 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/has.js
<s> [webpack.Progress] 30% building 169/181 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/to-object.js
<s> [webpack.Progress] 30% building 169/182 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/client-api/dist/storySort.js
<s> [webpack.Progress] 30% building 169/183 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/create-non-enumerable-property.js
<s> [webpack.Progress] 30% building 169/184 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-keys.js
<s> [webpack.Progress] 30% building 169/185 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/create-property-descriptor.js
<s> [webpack.Progress] 30% building 169/186 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addons/dist/index.js
<s> [webpack.Progress] 30% building 169/187 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addons/dist/hooks.js
<s> [webpack.Progress] 30% building 170/187 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addons/dist/hooks.js
<s> [webpack.Progress] 30% building 170/188 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.includes.js
<s> [webpack.Progress] 30% building 170/189 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preview/action.js
<s> [webpack.Progress] 30% building 170/190 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/models/ActionDisplay.js
<s> [webpack.Progress] 30% building 171/190 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/models/ActionDisplay.js
<s> [webpack.Progress] 30% building 171/191 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/captions.js
<s> [webpack.Progress] 30% building 172/191 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/captions.js
<s> [webpack.Progress] 30% building 172/192 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/cjs/react-jsx-runtime.production.min.js
<s> [webpack.Progress] 30% building 173/192 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/cjs/react-jsx-runtime.production.min.js
<s> [webpack.Progress] 30% building 174/192 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react/cjs/react-jsx-runtime.production.min.js
<s> [webpack.Progress] 30% building 174/193 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/componentTypes.js
<s> [webpack.Progress] 30% building 174/194 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es5-shim/es5-sham.js
<s> [webpack.Progress] 30% building 174/195 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/constants.js
<s> [webpack.Progress] 31% building 175/195 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/constants.js
<s> [webpack.Progress] 31% building 176/195 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/constants.js
<s> [webpack.Progress] 31% building 176/196 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 177/196 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 178/196 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 179/196 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 180/196 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 181/196 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 182/196 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 31% building 183/196 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 32% building 184/196 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 32% building 185/196 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/generateCode.js
<s> [webpack.Progress] 32% building 185/197 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/dist/index.js
<s> [webpack.Progress] 32% building 185/198 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/isHtmlTag.js
<s> [webpack.Progress] 32% building 185/199 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/web.dom-collections.iterator.js
<s> [webpack.Progress] 32% building 185/200 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.iterator.js
<s> [webpack.Progress] 32% building 185/201 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.find.js
<s> [webpack.Progress] 32% building 185/202 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/blocks/ArgsTable.js
<s> [webpack.Progress] 32% building 185/203 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/blocks/Description.js
<s> [webpack.Progress] 32% building 185/204 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/objectSpread2.js
<s> [webpack.Progress] 32% building 185/205 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/babel-preset-react-app/node_modules/@babel/runtime/helpers/esm/toConsumableArray.js
<s> [webpack.Progress] 32% building 185/206 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_baseIsMatch.js
<s> [webpack.Progress] 32% building 185/207 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_createBaseFor.js
<s> [webpack.Progress] 32% building 185/208 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_getNative.js
<s> [webpack.Progress] 32% building 185/209 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_matchesStrictComparable.js
<s> [webpack.Progress] 32% building 185/210 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_getMatchData.js
<s> [webpack.Progress] 32% building 185/211 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/blocks/utils.js
<s> [webpack.Progress] 32% building 185/212 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/PropDef.js
<s> [webpack.Progress] 32% building 185/213 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/components/html.js
<s> [webpack.Progress] 32% building 185/214 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.starts-with.js
<s> [webpack.Progress] 32% building 185/215 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.split.js
<s> [webpack.Progress] 32% building 185/216 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.object.define-property.js
<s> [webpack.Progress] 32% building 185/217 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/blocks/Anchor.js
<s> [webpack.Progress] 32% building 185/218 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.array.index-of.js
<s> [webpack.Progress] 32% building 185/219 modules 34 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 186/219 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 187/219 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 188/219 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 189/219 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 190/219 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_arrayLikeKeys.js
<s> [webpack.Progress] 32% building 190/220 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/isArrayLike.js
<s> [webpack.Progress] 32% building 190/221 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_baseKeys.js
<s> [webpack.Progress] 32% building 190/222 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/createPropDef.js
<s> [webpack.Progress] 32% building 191/222 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/createPropDef.js
<s> [webpack.Progress] 33% building 192/222 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/createPropDef.js
<s> [webpack.Progress] 33% building 192/223 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/set-to-string-tag.js
<s> [webpack.Progress] 33% building 193/223 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/set-to-string-tag.js
<s> [webpack.Progress] 33% building 193/224 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/engine-user-agent.js
<s> [webpack.Progress] 33% building 194/224 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/engine-user-agent.js
<s> [webpack.Progress] 33% building 195/224 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/engine-user-agent.js
<s> [webpack.Progress] 33% building 195/225 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/a-possible-prototype.js
<s> [webpack.Progress] 33% building 195/226 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/define-well-known-symbol.js
<s> [webpack.Progress] 33% building 196/226 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/define-well-known-symbol.js
<s> [webpack.Progress] 33% building 196/227 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/hidden-keys.js
<s> [webpack.Progress] 33% building 196/228 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/path.js
<s> [webpack.Progress] 33% building 196/229 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-store.js
<s> [webpack.Progress] 33% building 196/230 modules 34 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/document-create-element.js
<s> [webpack.Progress] 33% building 196/231 modules 35 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/array-includes.js
<s> [webpack.Progress] 33% building 196/232 modules 36 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/well-known-symbol-wrapped.js
<s> [webpack.Progress] 33% building 197/232 modules 35 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/well-known-symbol-wrapped.js
<s> [webpack.Progress] 33% building 197/233 modules 36 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 33% building 198/233 modules 35 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 33% building 199/233 modules 34 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 200/233 modules 33 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 201/233 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 202/233 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 203/233 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 204/233 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 205/233 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 206/233 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 207/233 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 208/233 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/native-symbol.js
<s> [webpack.Progress] 34% building 208/234 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 209/234 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 210/234 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 211/234 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 212/234 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 213/234 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 214/234 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 215/234 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 35% building 216/234 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 36% building 217/234 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 36% building 218/234 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/lib/docgen/utils/index.js
<s> [webpack.Progress] 36% building 218/235 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/react/dist/client/preview/index.js
<s> [webpack.Progress] 36% building 219/235 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/react/dist/client/preview/index.js
<s> [webpack.Progress] 36% building 220/235 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/react/dist/client/preview/index.js
<s> [webpack.Progress] 36% building 220/236 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-redux/es/index.js
<s> [webpack.Progress] 36% building 220/237 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-get-own-property-descriptor.js
<s> [webpack.Progress] 36% building 220/238 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/own-keys.js
<s> [webpack.Progress] 36% building 220/239 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/uid.js
<s> [webpack.Progress] 36% building 221/239 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/uid.js
<s> [webpack.Progress] 36% building 222/239 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/uid.js
<s> [webpack.Progress] 36% building 222/240 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es5-shim/es5-shim.js
<s> [webpack.Progress] 36% building 223/240 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es5-shim/es5-shim.js
<s> [webpack.Progress] 36% building 223/241 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 36% building 224/241 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 225/241 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 226/241 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 227/241 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 228/241 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 229/241 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 230/241 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 231/241 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 232/241 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared-key.js
<s> [webpack.Progress] 37% building 232/242 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared.js
<s> [webpack.Progress] 37% building 233/242 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/shared.js
<s> [webpack.Progress] 37% building 233/243 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/es/symbol/index.js
<s> [webpack.Progress] 37% building 233/244 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.iterator.js
<s> [webpack.Progress] 38% building 234/244 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.string.iterator.js
<s> [webpack.Progress] 38% building 234/245 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/a-function.js
<s> [webpack.Progress] 38% building 234/246 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 38% building 235/246 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 38% building 236/246 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/airbnb-js-shims/target/es2016.js
<s> [webpack.Progress] 38% building 236/247 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.symbol.description.js
<s> [webpack.Progress] 38% building 237/247 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.symbol.description.js
<s> [webpack.Progress] 38% building 237/248 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-property-is-enumerable.js
<s> [webpack.Progress] 38% building 238/248 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-property-is-enumerable.js
<s> [webpack.Progress] 38% building 238/249 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core-events/dist/index.js
<s> [webpack.Progress] 38% building 238/250 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addons/dist/types.js
<s> [webpack.Progress] 38% building 238/251 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.promise.js
<s> [webpack.Progress] 38% building 238/252 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.object.values.js
<s> [webpack.Progress] 38% building 239/252 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/modules/es.object.values.js
<s> [webpack.Progress] 38% building 239/253 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-get-own-property-symbols.js
<s> [webpack.Progress] 38% building 239/254 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-create.js
<s> [webpack.Progress] 38% building 239/255 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/object-get-own-property-names-external.js
<s> [webpack.Progress] 38% building 239/256 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/tatu/Gitrepot/Storybook/taskbox/src/lib/redux.js
<s> [webpack.Progress] 38% building 239/257 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/is-pure.js
<s> [webpack.Progress] 38% building 240/257 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/is-pure.js
<s> [webpack.Progress] 38% building 241/257 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/is-pure.js
<s> [webpack.Progress] 39% building 242/257 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/is-pure.js
<s> [webpack.Progress] 39% building 242/258 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/core-js/internals/add-to-unscopables.js
<s> [webpack.Progress] 39% building 242/259 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preview/configureActions.js
